User ID, Item1 ID, Item2 ID
1,1,2
1,1,10
1,1,11
1,1,12
1,1,19
1,3,2
1,3,4
1,3,15
1,3,17
1,3,18
1,5,4
1,5,20
1,6,9
1,7,2
1,7,5
1,7,12
1,7,13
1,8,7
1,8,10
1,8,11
1,8,14
1,8,17
1,9,10
1,10,4
1,11,16
1,14,2
1,14,10
1,14,13
1,14,16
1,15,11
1,15,13
1,15,14
1,16,4
1,16,10
1,17,2
1,18,8
1,19,6
1,19,12
2,1,2
2,1,10
2,1,12
2,3,2
2,3,4
2,3,15
2,3,18
2,4,5
2,4,10
2,6,19
2,7,2
2,7,5
2,7,8
2,7,12
2,7,13
2,8,10
2,8,11
2,8,14
2,9,6
2,9,10
2,11,1
2,11,16
2,14,2
2,14,10
2,14,13
2,14,16
2,15,11
2,15,13
2,15,14
2,16,4
2,16,10
2,17,2
2,17,3
2,17,8
2,18,8
2,19,1
2,19,12
2,20,5
3,1,2
3,1,10
3,1,11
3,1,12
3,1,19
3,3,2
3,3,4
3,3,15
3,3,17
3,3,18
3,5,4
3,5,20
3,6,9
3,7,2
3,7,5
3,7,12
3,7,13
3,8,7
3,8,10
3,8,14
3,8,17
3,9,10
3,10,4
3,11,8
3,11,16
3,14,2
3,14,10
3,14,13
3,14,15
3,14,16
3,15,11
3,15,13
3,16,4
3,16,10
3,17,2
3,18,8
3,19,6
3,19,12
4,1,2
4,1,19
4,2,7
4,3,2
4,3,15
4,3,18
4,4,3
4,4,16
4,5,4
4,5,7
4,6,9
4,6,19
4,8,7
4,8,11
4,8,17
4,9,10
4,10,1
4,10,4
4,10,8
4,11,1
4,11,16
4,12,1
4,12,19
4,13,7
4,14,2
4,14,8
4,14,10
4,14,13
4,14,15
4,14,16
4,15,11
4,15,13
4,16,10
4,17,2
4,17,3
4,17,8
4,20,5
5,1,5
5,1,13
5,3,7
5,3,13
5,6,16
5,6,20
5,7,4
5,7,20
5,8,4
5,8,13
5,8,20
5,9,11
5,9,16
5,9,19
5,10,20
5,13,2
5,13,4
5,14,11
5,14,17
5,14,19
5,14,20
5,15,4
5,15,5
5,15,12
5,15,16
5,15,17
5,15,19
5,17,19
5,18,1
5,18,7
5,18,10
5,18,13
5,18,16
5,18,17
5,19,4
5,19,20
5,20,2
5,20,4
6,1,5
6,1,13
6,1,18
6,2,20
6,3,7
6,3,13
6,4,8
6,4,15
6,4,20
6,7,4
6,7,18
6,7,20
6,8,20
6,9,19
6,10,18
6,10,20
6,11,9
6,11,14
6,13,2
6,13,4
6,13,8
6,14,20
6,15,4
6,15,5
6,15,12
6,15,17
6,15,19
6,16,6
6,16,9
6,16,15
6,17,14
6,17,19
6,18,16
6,18,17
6,19,14
6,19,20
6,20,6
7,1,5
7,1,13
7,1,18
7,2,13
7,2,20
7,3,7
7,4,7
7,4,13
7,4,15
7,4,19
7,4,20
7,6,16
7,8,4
7,9,16
7,9,19
7,10,18
7,10,20
7,11,9
7,12,15
7,13,8
7,14,17
7,14,19
7,14,20
7,15,5
7,15,17
7,15,19
7,16,15
7,17,18
7,17,19
7,18,7
7,18,10
7,18,13
7,18,16
7,20,6
7,20,7
7,20,8
7,20,19
8,1,5
8,1,13
8,1,18
8,3,7
8,3,13
8,4,13
8,4,20
8,6,16
8,6,20
8,7,4
8,7,20
8,8,4
8,8,13
8,8,20
8,9,11
8,9,16
8,9,19
8,13,2
8,14,11
8,14,19
8,14,20
8,15,4
8,15,5
8,15,12
8,15,16
8,15,19
8,16,18
8,17,14
8,17,15
8,17,18
8,17,19
8,18,7
8,18,10
8,18,13
8,19,4
8,19,20
8,20,2
8,20,10
9,1,4
9,1,7
9,1,16
9,1,17
9,1,20
9,3,8
9,3,16
9,3,20
9,4,2
9,6,4
9,6,12
9,6,14
9,8,9
9,8,12
9,9,2
9,9,4
9,9,7
9,10,5
9,10,12
9,11,4
9,11,7
9,11,13
9,11,19
9,12,2
9,13,20
9,14,4
9,14,5
9,15,2
9,16,5
9,17,6
9,17,7
9,17,9
9,18,4
9,18,6
9,18,11
9,18,12
9,18,15
9,19,7
10,1,4
10,1,7
10,1,16
10,1,17
10,1,20
10,3,8
10,3,16
10,3,20
10,4,2
10,6,4
10,6,12
10,6,14
10,7,9
10,7,11
10,7,19
10,8,9
10,8,12
10,9,2
10,9,4
10,10,5
10,10,12
10,11,4
10,11,13
10,11,19
10,12,2
10,13,20
10,14,4
10,14,5
10,15,2
10,16,5
10,17,6
10,17,7
10,17,9
10,18,4
10,18,6
10,18,11
10,18,12
10,18,15
11,1,4
11,1,7
11,1,16
11,1,17
11,1,20
11,3,8
11,3,16
11,3,20
11,4,2
11,6,4
11,6,12
11,6,14
11,7,11
11,7,19
11,8,9
11,8,12
11,9,2
11,9,4
11,9,7
11,10,5
11,10,12
11,11,4
11,11,13
11,11,19
11,12,2
11,13,20
11,14,4
11,14,5
11,15,2
11,16,5
