User ID, Education, Age, Gender, Region
1,2,4,2,1
2,2,1,2,4
3,2,4,2,4
4,0,4,1,3
6,2,3,1,3
7,2,3,1,3
8,2,1,1,3
10,2,3,1,2
11,1,1,1,3
13,2,3,2,4
14,1,2,2,1
15,1,1,1,2
16,2,3,1,2
17,2,2,1,2
18,2,1,1,4
19,2,2,1,1
20,2,2,2,1
21,1,4,1,4
22,2,2,2,1
23,1,4,2,4
24,2,2,2,1
25,1,4,2,1
26,2,3,2,4
28,2,1,2,1
29,1,4,1,4
30,1,2,1,1
31,1,1,2,4
32,1,1,2,3
33,3,1,1,4
34,1,1,2,1
35,2,4,2,3
36,2,3,1,2
38,0,1,1,4
39,2,1,2,4
40,2,1,1,1
41,0,2,2,4
42,2,3,1,1
43,2,3,1,4
44,1,4,1,1
45,1,1,1,4
47,2,4,1,4
48,2,3,2,1
49,2,2,2,1
50,3,3,0,4
51,1,2,1,1
52,2,1,1,3
53,2,3,1,2
54,0,1,1,2
55,1,4,2,3
56,2,4,2,4
57,2,2,2,1
59,2,2,2,2
60,2,3,2,3
